# Standoff 2 0.37.3 methodId table (service|method = hi lo explicit enc)
# count=304
AccountLinkRemoteService|getLinkedAuth = hi=260 lo=1 explicit=260 enc=0
AchievementRemoteService|getAchievementDefinitions = hi=267 lo=1 explicit=267 enc=0
AchievementRemoteService|getCurrentPlayerAchievements = hi=265 lo=1 explicit=265 enc=0
AchievementRemoteService|getPlayerAchievements = hi=266 lo=1 explicit=266 enc=0
AppGalleryInAppRemoteService|buyInApp = hi=395 lo=1 explicit=395 enc=0
AppStoreInAppRemoteService|buyInApp2 = hi=400 lo=1 explicit=400 enc=0
AppleIdAuthRemoteService|encryptedAuth = hi=641348218 lo=1 explicit=0 enc=1
AppleIdAuthRemoteService|encryptedAuth2 = hi=345 lo=1 explicit=345 enc=1
AppleIdAuthRemoteService|linkAuth = hi=346 lo=1 explicit=346 enc=1
AppleIdAuthRemoteService|unLinkAuth = hi=347 lo=1 explicit=347 enc=0
AvatarRemoteService|getAvatars2 = hi=1444664024 lo=1 explicit=0 enc=0
AvatarRemoteService|getDefaultAvatars = hi=275 lo=1 explicit=275 enc=0
BoltIdAuthRemoteService|encryptedAuth = hi=1081328245 lo=1 explicit=0 enc=1
BoltIdAuthRemoteService|encryptedAuth2 = hi=415 lo=1 explicit=415 enc=1
BoltIdAuthRemoteService|linkAuth = hi=416 lo=1 explicit=416 enc=1
BoltIdAuthRemoteService|unLinkAuth = hi=417 lo=1 explicit=417 enc=0
BoltRemoteService|subscribe2 = hi=41 lo=1 explicit=41 enc=0
BoltRemoteService|unsubscribe2 = hi=42 lo=1 explicit=42 enc=0
ChatRemoteService|deleteFriendMsgs2 = hi=195 lo=1 explicit=195 enc=0
ChatRemoteService|deleteGroupMsgs2 = hi=646830613 lo=1 explicit=0 enc=0
ChatRemoteService|getChatUser = hi=194 lo=1 explicit=194 enc=0
ChatRemoteService|getChatUsers2 = hi=1147842689 lo=1 explicit=0 enc=0
ChatRemoteService|getChatUsersByOffset2 = hi=1403487191 lo=1 explicit=0 enc=0
